gene,degree,importance_sum,importance_mean,n_nodes
SLC38A4,43,0.046790414,0.0010881491,1
MAPRE1,33,0.04678089,0.0014176028,1
CFLAR,34,0.046688225,0.0013731831,1
BRK1,29,0.04666678,0.0016091992,1
PLA2G4F,35,0.04652831,0.0013293803,1
TAT,58,0.046436086,0.0016012443,2
RAC2,2044,0.0463868,0.00063543563,28
IL10RB,44,0.046309635,0.0021049832,2
FGF9,294,0.04623804,0.00047181675,3
RPLP2,27,0.046132565,0.0017086135,1
TFRC,120,0.04584852,0.0011462129,3
BUB3,264,0.04582327,0.0013885839,8
XPO1,1798,0.045816142,0.00073897006,29
KCNJ3,432,0.04577812,0.0006358072,6
TRIO,136,0.045776624,0.0013463714,4
PSMD12,40,0.045600805,0.0011400201,1
TSHB,31,0.045582816,0.0014704134,1
PSEN2,152,0.045562077,0.001199002,4
ST3GAL3,34,0.045451935,0.0013368216,1
TXNRD1,26,0.045308635,0.0017426398,1
DOCK1,392,0.045168154,0.00092179904,8
EDNRA,30,0.045044336,0.0015014779,1
ASS1,99,0.044744838,0.0013559043,3
PTGDR,168,0.044733185,0.0021301517,8
PIK3C3,342,0.044704553,0.00078429043,6
CAMK2A,240,0.04464629,0.00037205243,2
YAP1,33,0.04447144,0.0013476193,1
CDC42,161,0.04443043,0.0002759654,1
GLUD1,53,0.044354513,0.0008368776,1
KLC1,22,0.04422797,0.0020103622,1
GADD45A,1536,0.04412869,0.0006895108,24
ARF6,27,0.044105984,0.0016335549,1
CSNK1A1,90,0.043771498,0.00097269996,2
EDN1,250,0.043726023,0.00087452045,5
PDK1,27,0.04362566,0.0016157652,1
PSMD1,38,0.04355537,0.001146194,1
ATF6B,30,0.043518737,0.0014506245,1
HMGB1,30,0.043463953,0.0014487985,1
CD14,106,0.043419812,0.00081924174,2
HLA-DQB1,1118,0.043340705,0.0010079234,26
PMAIP1,224,0.043287504,0.0013527345,7
IL10,870,0.043141887,0.0007438256,15
PTGIR,28,0.042822346,0.0015293695,1
CLCNKA,31,0.0426251,0.0013750033,1
