gene,importance_sum,degree,importance_mean
NME7,0.029185066,32,0.0009120333124883473
DMGDH,0.029079057,17,0.0017105327809558196
DDX58,0.029024452,38,0.0007638013676593179
CDKN2A,0.028905371,81,0.0003568564346175135
ASS1,0.028890897,33,0.0008754817148049673
CCN2,0.02888894,15,0.0019259293874104818
NDUFB1,0.028788932,19,0.0015152069298844588
GOT2,0.028734103,48,0.0005986271426081657
GMPR,0.02866608,23,0.0012463513437820518
GPX7,0.02860257,15,0.0019068380196889242
MYOD1,0.028595652,16,0.0017872282769531012
CXCR4,0.028576834,54,0.0005292006319871655
AKR1B1,0.028497517,43,0.0006627329560213311
H2AC1,0.028459964,19,0.0014978928589507153
CKAP5,0.028302228,32,0.0008844446274451911
SNAP25,0.028302042,25,0.0011320816725492477
CES2,0.028245412,17,0.0016614948125446543
POLR2A,0.028194156,68,0.0004146199344712145
PCSK2,0.028163746,55,0.0005120681090788408
FGF10,0.028130662,73,0.00038535153008487127
LPAR3,0.028110454,17,0.0016535561093512703
